Titlu	Autor	communal_coef	aesthetic_coef	dark_coef	thrilling_coef	cerebral_coef	Link	Description
Particulele elementare	Michel Houellebecq	1	8	1	1	7	https://www.goodreads.com/book/show/15779002-particulele-elementare?from_search=true&from_srp=true&qid=GQjHwCCyLQ&rank=1	Romanul Particulele elementare, tradus in peste douazeci si cinci de limbi si recompensat chiar in anul aparitiei cu Prix Novembre, ilustreaza admirabil criza existentiala si sentimentala a omului contemporan. Urmarind in paralel destinele a doi frati vitregi cu personalitati si stiluri de viata diferite, Houellebecq denunta esecul a doua moduri de a trai – cel spiritual si cel senzorial. Singura solutie pentru salvarea unei umanitati ce aluneca treptat in solitudine, indiferenta si cruzime pare a fi o mutatie radicala, de ordin genetic, a individului. Romanul a fost ecranizat in anul 2006, in regia lui Oskar Roehler, intr-o productie distinsa cu Ursul de Argint la Festivalul de Film de la Berlin.
Furtuna războiului	Victoria Aveyard	7	1	3	10	1	https://www.goodreads.com/book/show/45161129-furtuna-r-zboiului?from_search=true&from_srp=true&qid=mdOn9LLMpN&rank=1	Trădată și îndurerată, Mare este hotărâtă să distrugă o data pentru totdeauna regatul Norta și pe Maven, pentru a asigura libertatea oștii roșii și a celor ca ea. Dar nicio bătălie nu se câștigă singură, așa că Mare va trebui să se alieze cu cel care i-a frânt inima. Puternicii prieteni argintii ai lui Cal și Garda Stacojie se vor dovedi esențiali în lupta care o așteaptă. Maven însuși este atât de obsedat să o recucerească pe Mare, încât e dispus să plătească oricât, chiar să distrugă orice și pe oricine îi stă în cale. Războiul e iminent. Cum se va sfârși povestea pentru fetița cu fulgere?
Xanax	Liviu Iancu 	10	5	1	3	4	https://www.goodreads.com/book/show/44175459-xanax?from_search=true&from_srp=true&qid=oQ1HPIvZNK&rank=1	„Tocmai când terminasem de scris Xanax am avut un accident de mașină. În timp ce completam constatarea amiabilă, cel cu care mă ciocnisem – un bătrânel ponosit – a izbucnit în plâns. Dar nu de mașina avariată îi părea rău, așa cum credeam eu, ci de viaţa lui care trecuse. Mi-a mărturisit că a fost un om foarte fericit. Nu arăta ca unul căruia viaţa îi făcuse toate poftele, așa că l-am întrebat:  — Şi când aţi fost cel mai fericit?  — Demult, în ‘73, când am jucat în „Ultimul cartuş"...  — Aţi fost actor?  — Nu, domnule... Am fost şofer la Buftea, la cinematografie. Şi m-au pus şi pe mine figurant într-un film. Eram băiatul lui Jean Constantin, că eram negru ca el. Am jucat doar câteva secunde. M-a întrebat Ilarion Ciobanu unde e tata şi mi-a dat un şut în găoază şi două palme după ceafă. - Până am terminat amiabila, omul și-a povestit viaţa. Cumva, m-am bucurat că am făcut accidentul, pentru că, datorită lui, am mai găsit o ultimă poveste care se potrivea perfect în Xanax. Banii pe care i-am plătit ca să-mi repar mașina mi s-au părut un preţ mic pentru cât am câștigat în schimb. În esenţă, asta este Xanax – un roman construit din sute de întâmplări adevărate, amuzante și triste în același timp, pentru care eu și personajele mele am plătit, cu toţii, de fiecare dată un preţ, mai mic sau mai mare. " - Liviu Iancu
Invitatie la Vals	Mihail Drumeș	10	4	2	4	1	https://www.goodreads.com/book/show/10886702-invita-ie-la-vals?from_search=true&from_srp=true&qid=Fvq4AEnmJj&rank=1	Invitaţia la vals este un roman de dragoste scris de către Mihail Drumeş. Printre scrierile autorului se numara si Elevul Dima dintr-a şaptea şi Scrisoare de dragoste. Romanul prezintă viaţa personajului principal masculin, felul in care se dezvoltă acesta, cum gândeşte şi nu în ultimul rând…cum iubeşte. Obişnuit să îşi seducă amantele, să le aibă şi apoi să le părăsească, numai de dragul sentimentului de măreţie, trufie, pe care îl simte atunci când ele îi cerşesc împăcarea, el îşi primeşte pedeapsa prin dragostea vieţii sale, Mihaela.
Printre Tonuri Cenusii	Ruta Sepetys	8	2	5	7	4	https://www.goodreads.com/book/show/22920772-printre-tonuri-cenu-ii?from_search=true&from_srp=true&qid=gT9QfwflSQ&rank=1	Lituania, iunie 1941: Lina, o adolescenta de cincisprezece ani, fiica de rector universitar, se pregateste sa urmeze din toamna cursurile Scolii de Arte din Vilnius, si asteapta cu nerabdare vacanta de vara de dinainte. Dar, intr-o noapte, bubuituri amenintatoare se aud la usa, iar din acel moment viata ei si a familiei ei se schimba pentru totdeauna. Politia secreta sovietica, NKVD, ii aresteaza pe Lina, pe mama ei si pe fratele ei mai mic. Cei trei sunt evacuati din caminul lor si tarati in vagoane de transportat vite, descoperind curand ce destinatie au: Siberia. Despartita de tata, Lina incearca sa strecoare indicii in desenele ei, pe care le trimite in secret, din mana in mana, sperand sa ajunga in lagarul unde este el incarcerat. In aceasta miscatoare si tragica poveste, Lina se lupta cu disperare pentru viata ei si a celor apropiati, cu singura arma de care dispune: iubirea. Dar oare iubirea este de ajuns ca s-o tina in viata?
Preludiu	Ileana Vulpescu	4	4	8	1	4	https://www.goodreads.com/book/show/34857706-preludiu?from_search=true&from_srp=true&qid=S32tO6eKtN&rank=1	"Convinsa de când ma stiu ca omul propune si Dumnezeu dispune, cuminte si modest nu mi-am facut planuri. Viata m-a-nvatat sa tac si sa-nghit, m-a-nvatat sa nu-mi propun sa depasesc pe nimeni si nici propria umbra, m-a-nvatat sa ma uit mereu în jos, la mai mari suferinte decât a mea, m-a-nvatat sa-mbatrânesc decent si mai ales sa pierd. Când ai pierdut esentialul vietii tale, totul îti devine egal. La acesti ani ai mei, Îl rog pe Dumnezeu sa ma tina pe picioare (chiar cu doua bastoane) si-n toate mintile, pâna-mi va face semn sa ma duc la El. As fi vrut sa fiu Lev Tolstoi si alta lumea-n care-am trait si mai traiesc. N-a fost sa fie. Mult a fost, putin a ramas. Curaj pentru acest putin. De când fiintele cele mai apropiate sufletului meu m-au parasit, nu-mi mai sare inima din loc când suna telefonul, ori când se-anunta vreo catastrofa. Catastrofa destinata mie s-a petrecut. Am ramas pasare singuratica privind cu ochi impasibili lumea. Un preludiu al marii linisti.”
Iubirea omenească	Andrei Makine	10	5	5	1	1	https://www.goodreads.com/book/show/21719769-iubirea-omeneasca?from_search=true&from_srp=true&qid=1O7DrU63pq&rank=1	Traducere din limba franceza de Dan Radu Stanescu. Iubirea omeneasca este cel mai nou roman semnat Andrei Makine, unul dintre cei mai originali si mai renumiti scriitori francezi contemporani. „O carte splendida, esentiala, profund umana.” (Les Echos). Cartea este o replica fictionala menita sa-i reduca la tacere pe teoreticienii „crizei umanismului contemporan. Protagonistul cartii, Elias Almeida, este un revolutionar angolez care, confruntat cu aspectele cele mai sumbre ale istoriei ultimei jumatati a secolului XX, isi pastreaza increderea in puterea mintuitoare a dragostei. Narata in stilul sobru si rezervat specific lui Makine, Iubirea omeneasca este o poveste despre frumusetea nascuta din adincul, si in pofida, ororii.
Regina Rosie	Victoria Aveyard	8	3	2	9	1	https://www.goodreads.com/book/show/31539725-regina-ro-ie?from_search=true&from_srp=true&qid=TofxBgz9IT&rank=2	Lumea lui Mare Barrow este impartita in doua, dupa culoarea sangelui: cei cu sangele comun, rosu, ii servesc pe cei cu sange argintiu, elita societatii, cei care sunt dotati cu puteri supraumane. Mare face parte din rosii si-si duce traiul de pe o zi pe alta, ca hot intr-un mic sat de la tara, pana cand destinul o aduce in fata regelui, a reginei si a tuturor nobililor, unde ea descopera ca este si rosie, dar si argintie, cu puteri nebanuite.
Are We All Lemmings and Snowflakes?	Holly Bourne	8	1	4	4	5	https://www.goodreads.com/book/show/39297840-are-we-all-lemmings-and-snowflakes?from_search=true&from_srp=true&qid=O4rOjQbHNC&rank=1	Welcome to Camp Reset, a summer camp with a difference. A place offering a shot at “normality” for Olive, a girl on the edge, and for the new friends she never expected to make – who each have their own reasons for being there. Luckily Olive has a plan to solve all their problems. But how do you fix the world when you can’t fix yourself?
Evadarea de la Auschwitz	Joel C. Rosenberg	1	1	8	4	5	https://www.goodreads.com/book/show/52238246-evadare-de-la-auschwitz?from_search=true&from_srp=true&qid=biKDVuVOCd&rank=1	În timp ce maș­ina de război nazistă zdrobeș­te Europa, tânărul Jacob Weisz este silit să-ș­i părăsească patria iubită, Germania, ș­i să se alăture mi­șcării de rezistență din Belgia. Dar, după ce o operațiune de salvare scapă complet de sub control, Jacob se treze­ște prizonier într-un tren care se îndreaptă spre sudul Poloniei. Condamnat la muncă forțată în lagărul de la Auschwitz, Jacob se aliază cu un pastor francez, închis pentru că i-a ajutat pe evrei. Cei doi sunt hotărâți să evadeze. Scopul lor este să ajungă în Occident ș­i să-i alerteze pe Aliați în legătură cu îngrozitoarele lucruri care se petrec în Polonia, înainte ca fascismul să distrugă întreaga Europa. Soarta a milioane de oameni atârnă într-un fir de păr.
În pat cu regina	Eleanor Herman	5	5	1	5	4	https://www.goodreads.com/book/show/59001472-n-pat-cu-regina?from_search=true&from_srp=true&qid=KoPTeNrzG9&rank=1	In pat cu regina. 900 de ani de regi ticalosi, amanti virili si politica de alcov. La curtile regale pline de testosteron - generali indrazneti, curteni cizelati si cardinali virili - v-ati intrebat vreodata cum si-au gasit fericirea doamnele?
Da-ți voie sa simți	Marc Brackett	10	3	1	1	10	https://www.goodreads.com/book/show/55162263-d---i-voie-s-sim-i-desc-tu-eaz-puterea-emo-iilor-pentru-o-dezvoltare?from_search=true&from_srp=true&qid=WheMpzZedc&rank=1	În urma a 25 de ani de cercetări asupra emoțiilor, Marc Brackett a găsit cele mai bune căi prin care îți poți înțelege și utiliza stările afective, pentru a avea succes în viață și pentru îmbunătățirea stării de bine. Instrumentul care stă în centrul acestei cărți este metoda RULER, bazată pe cinci abilități afective esențiale: recunoașterea unei emoții (pornind de la limbajul nonverbal), înțelegerea cauzelor ei, etichetarea ei corectă, afișarea emoțiilor de-o manieră adecvată social și, în fine, reglarea și modificarea reacțiile afective, pentru atingerea obiectivelor personale.
Oscar și Tanti Roz	Éric-Emmanuel Schmitt	7	7	1	1	4	https://www.goodreads.com/book/show/9694407-oscar-i-tanti-roz?from_search=true&from_srp=true&qid=qaCMIQKuQl&rank=1	Oscar are zece ani şi trăieşte într-un spital. Chiar dacă nimeni nu are curajul să i-o spună în faţă, băiatul, bolnav de leucemie, ştie că va muri, iar războiul lui împotriva tuturor izbucneşte inocent, pătimaş şi deznădăjduit. Singura care-i intră în voie este Tanti Roz, o infirmieră bătrână, neîntrecută în născocit poveşti moderne, adevărate lecţii de viaţă, în care nici binele, nici răul nu sunt absolute şi nimic nu e aşa cum pare la prima vedere. Ea îi dă copilului ideea să trăiască fiecare zi ca şi cum ar fi zece ani şi-l învaţă să-i scrie epistole lui Dumnezeu ca să se simtă mai puţin singur. Cu Tanti Roz pe post de ghid într-o viaţă trăită fast-forward, Oscar parcurge, printre râsete şi lacrimi, itinerarul emoţionant al tuturor vârstelor şi experienţelor umane îmbogăţite de imaginaţia lui, care umple spaţiile albe şi îmbracă realitatea în veşmântul miracolului. Astfel, băiatul ajunge să-şi trăiască adolescenţa alături de prieteni, să se îndrăgostească la tinereţe, să se căsătorească la maturitate cu prima iubire, să o piardă şi, în cele din urmă, să regăsească dragostea la apusul unei vieţi ca o lumânare care arde la ambele capete.
Pe aripile vântului	Margaret Mitchell	8	3	3	6	2	https://www.goodreads.com/book/show/17372458-pe-aripile-v-ntului?from_search=true&from_srp=true&qid=RIzFduGKn5&rank=1	Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea. 
Scrisoare de dragoste	Mihail Drumeş	10	3	1	5	1	https://www.goodreads.com/book/show/6961368-scrisoare-de-dragoste?from_search=true&from_srp=true&qid=0CXpOBP5Tn&rank=1	O poveste de dragoste în care goana după bani şi carierismul fac ravagii, cu spectaculoase răsturnări de situaţie, suspans, melodramă, vervă, ironie şi dialoguri vii – reţeta celui mai bine vândut prozator român nu dă greş. Scrisoare de dragoste a fost reeditată de zeci de ori de la apariţia sa şi a cucerit publicul de toate vârstele.
Lifespan	David A. Sinclair	1	4	1	1	10	https://www.goodreads.com/book/show/43723901-lifespan?from_search=true&from_srp=true&qid=SIX7GHjg3S&rank=1#other_reviews	It’s a seemingly undeniable truth that aging is inevitable. But what if everything we’ve been taught to believe about aging is wrong? What if we could choose our lifespan? In this groundbreaking book, Dr. David Sinclair, leading world authority on genetics and longevity, reveals a bold new theory for why we age. As he writes: “Aging is a disease, and that disease is treatable.” This book takes us to the frontlines of research many from Dr. David Sinclair’s own lab at Harvard—that demonstrate how we can slow down, or even reverse, aging. The key is activating newly discovered vitality genes, the descendants of an ancient genetic survival circuit that is both the cause of aging and the key to reversing it.
Lorelei	Ionel Teodoreanu	10	10	1	1	1	https://www.goodreads.com/book/show/984561.Lorelei?from_search=true&from_srp=true&qid=zJnC6t7RDx&rank=3	Alaturi de trilogia La Medeleni, Lorelei este cel mai iubit roman al lui Ionel Teodoreanu. Farmecul sau romantic, tristetea apasatoare, intimitatea gratioasa si nobletea lirica a povestii de iubire, atmosfera cu parfum fin de siécle topita in frenezia epocii jazzului din anii ‘20-‘30 au sedus generatii de cititori si, mai ales, de cititoare.
Scarlett	Alexandra Ripley	10	5	1	5	3	https://www.goodreads.com/book/show/73062.Scarlett?from_search=true&from_srp=true&qid=bFn4PLnaJu&rank=1	The timeless tale continues... The most popular and beloved American historical novel ever written, Margaret Mitchell's Gone With the Wind is unparalleled in its portrayal of men and women at once larger than life but as real as ourselves. Now bestselling writer Alexandra Ripley brings us back to Tara and reintroduces us to the characters we remember so well: Rhett, Ashley, Mammy, Suellen, Aunt Pittypat, and, of course, Scarlett. As the classic story, first told over half a century ago, moves forward, the greatest love affair in all fiction is reignited; amidst heartbreak and joy, the endless, consuming passion between Scarlett O'Hara and Rhett Butler reaches its startling culmination. Rich with surprises at every turn and new emotional, breathtaking adventures, Scarlett satisfies our longing to reenter the world of Gone With the Wind, and like its predecessor, Scarlett will find an eternal place in our hearts.
Memoriile unui motan călător	Hiro Arikawa	10	6	3	1	1	https://www.goodreads.com/book/show/52672363-memoriile-unui-motan-c-l-tor?from_search=true&from_srp=true&qid=v6ar0COVBa&rank=1	Nana este un motan, dar nu unul oarecare. Are blana albă și coada în formă de șapte, îi plac fâșiile de carne din piept de pui și fructele de mare, are ghearele ascuțite și privirea ageră, ba chiar înțelege graiul oamenilor și comentează despre tot ce se întâmplă în jurul său. Nana este motanul vagabond care dormea pe capota unei dubițe argintii, până când un tânăr înalt s-a apropiat de el și i-a zâmbit fermecător. După cinci ani lipsiți de griji, Satoru și Nana, omul și motanul, se văd nevoiți să pornească într-o călătorie în căutarea unui alt stăpân. Cu această ocazie Nana își începe cronica de călătorie unde își va nota, cu tandrețe și umor, impresiile și emoțiile, construind o tulburătoare poveste despre prietenie, familie și memorie. 
Specia rebelă	David Eagleman	1	10	1	1	10	https://www.goodreads.com/book/show/56137844-specia-rebel-despre-creativitatea-oamenilor-i-despre-modul-n-care-ea?from_search=true&from_srp=true&qid=mwAxtwJ8LZ&rank=1	Împletind artele și științele, specialistul în neuroștiințe David Eagleman și compozitorul Anthony Brandt explorează nevoia de noutate, simularea viitorurilor posibile și componentele sociale care animă inventivitatea speciei noastre. Antrenându-ne într-un tur al creativității umane, de la Picasso la mașinile-concept și călătoriile pe Lună, Brandt și Eagleman examinează software-ul cognitiv care generează noi idei și aruncă o lumină asupra aspectelor esențiale ale mentalității creative. Atunci când înțelegem capacitatea noastră de a inova, putem face față provocării de a remodela lumea în care trăim, și care e în permanentă schimbare. Cei doi autori explică puterea speciei umane de a prefigura și construi viitorul, căutând sursele creativității, trăsăturile comune ale actelor creative și modalitățile prin care le-am putea folosi pentru a ne îmbunătăți viața cotidiană, sistemul școlar și instituțiile.
Cel mai iubit dintre pământeni	Marin Preda	6	4	4	4	6	https://www.goodreads.com/book/show/2142727.Cel_mai_iubit_dintre_p_m_nteni?from_search=true&from_srp=true&qid=cdiWHkvFBP&rank=2	Romanul are forma unei largi confesiuni, fiind scris la persoana I, prin care personajul principal, Victor Petrini, îşi reconstituie existenta, încercând să-i afle sensul acesteia. A cunoscut mai multe experienţe erotice (Nineta, Căprioara, Matilda, Suzy) şi, din diferite motive, a eşuat in toate. A studiat filozofia şi, tânăr asistent, avea in fată o strălucită carieră universitară, ambiţionându-se să creeze o noua gnoză şi compunând un eseu despre Era ticăloşilor. S-a căsătorit cu Matilda (creând incertitudine in prietenia sa cu Petrică Nicolau, căruia aceasta ii era soţie) şi a avut cu ea o fetită, dar relaţia conjugală se desfăşoară sub semnul unei incompatibilităţi intre cei doi şi se degradează foarte repede.
Dragă John	Nicholas Sparks	10	4	4	1	1	https://www.goodreads.com/book/show/10222064-drag-john?from_search=true&from_srp=true&qid=V0Mr4wQ8Mw&rank=1	John, un tânăr rebel şi confuz, renunţă la şcoală şi se înrolează în armată, neştiind ce altceva să facă în viaţă, până când o întâlneşte pe fata visurilor sale, Savannah. Atracţia reciprocă se transformă rapid într-o dragoste puternică, iar Savannah hotărăşte să-l aştepte pe John să-şi îndeplinească datoria faţă de ţară. Dar tragedia din 11 septembrie schimbă totul. John simte că trebuie să rămână alături de camarazii lui în aceste momente şi se înrolează pentru încă doi ani. Din nefericire pentru el, între timp, viaţa merge mai departe pentru Savannah care se îndrăgosteşte de altcineva. Scrisoarea care începea cu "Dragă John" frânge o inimă şi schimbă pentru totdeauna două vieţi. Întors acasă, John trebuie să se obişnuiască cu ideea că Savannah, acum o femeie măritată, este dragostea lui adevărată şi să ia cea mai dificilă decizie din viaţa lui.
Povestea mea	Michelle Obama	4	3	1	3	8	https://www.goodreads.com/book/show/42778048-povestea-mea?from_search=true&from_srp=true&qid=ZvuP9AXYPt&rank=1	Micuța Michelle Obama și-a petrecut copilăria în cartierul South Side din orașul Chicago, împărțind aceeași cameră cu fratele ei, Craig, în apartamentul de la etaj al familiei, jucându-se de-a prinselea prin parc și învățând de la părinții săi, Fraser și Marian Robinson, să spună întotdeauna și fără teamă ceea ce gândește. Peste câțiva ani, viața a îndepărtat-o de casă, purtând-o din sălile de curs ale Universității Princeton, unde a descoperit cum e să fii singura femeie de culoare dintr-o încăpere, până în biroul elegant dintr-un zgârie-nori de sticlă, unde a lucrat și a fost apreciată ca avocat corporatist – și unde, într-o dimineață de vară, și-a făcut apariția un student la drept, pe nume Barack Obama, dându-i peste cap toate planurile pe care și le făcuse cu atâta minuțiozitate.
Tată bogat, tată sărac	Robert T. Kiyosaki	2	3	2	2	10	https://www.goodreads.com/book/show/20742204-tat-bogat-tat-s-rac-educa-ia-financiar-n-familie?from_search=true&from_srp=true&qid=KZ2b280gFW&rank=1	"Principalul motiv pentru care oamenii se lupta cu dificultatile financiare este acela ca au trecut prin scoala fara sa invete nimic despre bani. Rezultatul este ca invata sa lucreze pentru bani... dar nu invata niciodata sa puna banii sa actioneze pentru ei." Robert T. Kiyosaki
Cadranul banilor	 Robert T. Kiyosaki	2	3	2	2	10	https://www.goodreads.com/book/show/15821582-cadranul-banilor-ghidul-unui-tat-bogat-pentru-libertate-financiar?from_search=true&from_srp=true&qid=kXT8xU9bp6&rank=1	Aţi observat că mulţi dintre cei mai sclipitori absolvenţi ai universităţilor îşi doresc să lucreze pentru cei care nu şi-au terminat studiile... oameni precum Bill Gates, Richard Branson, Michael Dell şi Ted Turner? Aceşti oameni fără studii superioare sunt astăzi ultra-bogaţii lumii.
După ce ne-am întâlnit	Anna Todd	10	1	1	6	1	https://www.goodreads.com/book/show/25822967-dup-ce-ne-am-nt-lnit?from_search=true&from_srp=true&qid=7taaYfiW0Z&rank=1	Tessa Young e o fată cuminte, silitoare şi ordonată. După ce intră la universitate şi îl cunoaşte pe Hardin, viaţa ei se schimbă radical. Cu părul lui răvăşit, accentul britanic, tatuajele şi piercingurile, Hardin e complet diferit de băieţii pe care i-a întâlnit până acum. E arogant şi crud – ar avea toate motivele să-l urască. Dar felul în care o sărută trezeşte în ea o pasiune cum n-a mai simţit.
Love story	Liane Moriarty	10	1	1	5	6	https://www.goodreads.com/book/show/23751850-the-hypnotist-s-love-story?from_search=true&from_srp=true&qid=KVPQOR2Ndh&rank=1	Ellen O’Farrell is a professional hypnotherapist who works out of the eccentric beachfront home she inherited from her grandparents. It’s a nice life, except for her tumultuous relationship history. She’s stoic about it, but at this point, Ellen wouldn’t mind a lasting one. When she meets Patrick, she’s optimistic. He’s attractive, single, employed, and best of all, he seems to like her back. Then comes that dreaded moment: He thinks they should have a talk. Braced for the worst, Ellen is pleasantly surprised. It turns out that Patrick’s ex-girlfriend is stalking him. Ellen thinks, Actually, that’s kind of interesting. She’s dating someone worth stalking. She’s intrigued by the woman’s motives. In fact, she’d even love to meet her. Ellen doesn’t know it, but she already has.
Homo Deus: A History of Tomorrow	Yuval Noah Harari	1	6	1	1	10	https://www.goodreads.com/book/show/31138556-homo-deus?from_search=true&from_srp=true&qid=jvin3qh4vh&rank=1	Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity’s future, and our quest to upgrade humans into gods. Over the past century humankind has managed to do the impossible and rein in famine, plague, and war. This may seem hard to accept, but, as Harari explains in his trademark style—thorough, yet riveting—famine, plague and war have been transformed from incomprehensible and uncontrollable forces of nature into manageable challenges. For the first time ever, more people die from eating too much than from eating too little; more people die from old age than from infectious diseases; and more people commit suicide than are killed by soldiers, terrorists and criminals put together. The average American is a thousand times more likely to die from binging at McDonalds than from being blown up by Al Qaeda. What then will replace famine, plague, and war at the top of the human agenda? As the self-made gods of planet earth, what destinies will we set ourselves, and which quests will we undertake? Homo Deus explores the projects, dreams and nightmares that will shape the twenty-first century—from overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is Homo Deus. With the same insight and clarity that made Sapiens an international hit and a New York Times bestseller, Harari maps out our future.
Factfullness	Hans Rosling	4	5	1	1	10	https://www.goodreads.com/book/show/34890015-factfulness?from_search=true&from_srp=true&qid=OcrQFPTykn&rank=1	Inspiring and revelatory, filled with lively anecdotes and moving stories, Factfulness is an urgent and essential book that will change the way you see the world and empower you to respond to the crises and opportunities of the future.
Insula comorii	Robert Louis Stevenson	2	2	3	10	1	https://www.goodreads.com/book/show/17840361-insula-comorii?from_search=true&from_srp=true&qid=1Sde7Tygmo&rank=1	One-legged Long John Silver, treacherous Captain Billy Bones, wicked Black Dog and the terrifying Blind Pew are the most cruel and frightening pirates ever to sail the high seas! They all dream of finding Captain Flint's buried treasure, but it is young Jim Hawkins who finds Flint's map of Treasure Island. Can Jim and his friends outwit these bloodthirsty pirates and claim the glorious bounty? Treasure Island, the most famous pirate story ever told, has been thrilling young readers for generations with its tales of buccaneers, buried gold and X marks the spot.
Doi ani de vacanță	Jules Verne	10	3	1	8	1	https://www.goodreads.com/book/show/17369978-doi-ani-de-vacan?from_search=true&from_srp=true&qid=ZSHaAylez1&rank=1	A group of boys find themselves adrift at sea, and after a terrible storm they are cast upon a deserted island, where they must learn to get along together to survive.
Zbor frânt	Vladimir Beșleagă	1	8	8	3	1	https://www.goodreads.com/book/show/17879079-zbor-fr-nt?from_search=true&from_srp=true&qid=RBi4oJGnAU&rank=1	Romanul „Zbor frânt" (1966) este considerat unul dintre cele mai remarcabile în literatura română din Basarabia. Tema războiului din „Zbor frânt” pare să fie numai un pretext pentru a da curs „într-un moment de mare durere sufletească” acelor resorturi ale „frumosului” ce se regăsesc nu în formele termenului „formosus”, ci mai ales în natura profundă a conţinutului, pe care practicienii estetismului de dragul esteticii îl ratează.
Lupul de stepă	Hermann Hesse	1	4	7	1	10	https://www.goodreads.com/book/show/15784297-lupul-de-step?from_search=true&from_srp=true&qid=BPSSmj3pLD&rank=1	Incapabil să savureze bucuriile mărunte ale vieţii, din ce în ce mai solitar şi mai izolat de lume, Harry Haller începe să semene tot mai mult cu un "lup de stepă". Singura soluţie pe care o întrevede este sinuciderea, însă teama de moarte îl împiedică să meargă până la capăt. Întâlnirea cu Hermine, omologul său feminin, reprezintă o adevărată iniţiere, o tulburătoare căutare a echilibrului fragil dintre corp şi spirit, fără de care fiinţa umană nu poate atinge perfecţiunea.
Jocul cu mărgele de sticlă	Hermann Hesse	3	5	5	1	8	https://www.goodreads.com/book/show/6224703-jocul-cu-m-rgele-de-sticl?from_search=true&from_srp=true&qid=IxLG3XqsiD&rank=1	Autorul, care a pledat întreaga lui viață pentru umanitarism și pacifism, împotriva "stupidității sângeroase a războiului", a reușit în "Jocul cu mărgele de sticlă", ultimul sau roman, să descopere parcă formula, dacă nu a fericirii, cel puțin a serenității. Dacă romanele anterioare stăteau sub semnul scindării, fiind construite pe diverse opoziții personificate de personajele aflate în relații antagonice, în Jocul... personajul central pare să-și fi regăsit unitatea, prin renunțarea la interesele egoiste și prin acceptarea sacrificiului în folosul comunității, al Ordinului. Romanul devine o metaforă pentru activitatea creatoare, singura capabilă să unifice conflictul dintre instinct și spirit.
Primăvara in Toscana	Santa Montefiore	10	5	1	4	1	https://www.goodreads.com/book/show/51412894-prim-var-n-toscana?from_search=true&from_srp=true&qid=eDxByJ0l5A&rank=1	Cand Gracie Burton afla ca la Castello Montefosco, in zona Toscanei, se organizeaza un curs de arta culinara timp de o saptamana, aceasta nu poate rezista tentatiei de a se intoarce spre trecutul pe care l-a lasat in urma in Italia. Desi Gracie nu este in relatii prea bune cu fiica ei, Carina, si cu nepoata Anastasia, cele doua decid sa o insoteasca in calatorie, fara sa aiba vreo idee despre secretele ascunse o viata intreaga. In acea saptamana, Gracie le dezvaluie adevarul despre motivul care a readus-o inapoi la castel si la misteriosul lui proprietar, contele Bassanelli. Carina si Anastasia afla cu stupoare ca Gracie a petrecut 15 ani in Italia ca ucenica a unchiului ei, un celebru restaurator si mare colectionar de arta. In acea perioada s-a indragostit lulea, iar acum, dupa 41 de ani, se intoarce cu speranta ca va putea indrepta unele dintre greselile trecutului. Gatind retete speciale si inconjurata de sufletele frumoase ale oaspetilor de la castel, Gracie se apropie din nou de familia ei si, impreuna, cele trei femei reinvata ce inseamna iubirea.
Aleea cu licurici	 Kristin Hannah	10	4	4	1	1	https://www.goodreads.com/book/show/40745400-aleea-cu-licurici?from_search=true&from_srp=true&qid=V7c35U70qv&rank=1	In vara agitata a anului 1974, Kate Mularkey pare ca s-a impacat cu faptul ca viata nu are sa-i ofere nimic special. Dar, spre uimirea sa, „cea mai grozava fata din lume“ se muta pe strada ei si vrea sa-i fie prietena. Tully Hart pare sa aiba totul: frumusete, inteligenta, ambitie. La prima vedere, cele doua fete sunt cat se poate de diferite: Kate, condamnata sa fie vesnic o fiinta obisnuita, cu o familie iubitoare care o umileste in permanenta; Tully, plina de stralucire si mister, dar cu un secret care o distruge. Ele fac un pact pentru a fi cele mai bune prietene pe vecie, iar pana la sfarsitul verii devin de nedespartit. Timp de treizeci de ani, Tully si Kate se sprijina una pe alta, trecand printr-o multime de evenimente si stari care le pun la incercare prietenia: gelozie, furie, durere, resentimente. Si cred ca au supravietuit tuturor incercarilor vietii pana cand un singur act de tradare le va desparti... si le va supune curajul si prietenia la testul final.
